date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:11	88480/88480	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:12%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index23e9-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberSignUpForm)
11:56:12	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4d7b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberFindAccount)
11:56:12	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4d8b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberFindAccount)
11:56:12	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4d9b163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170)
11:56:12	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4dab163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170)
11:56:12	53397/53397	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:12%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexe4f2-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170)
11:56:12	38285/38285	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:12%20GMT	https://www.bareungak.com/?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberFindAccount	C:/My%20Web%20Sites/roshop/www.bareungak.com/indexae24-2.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&act=dispMemberFindAccount)
11:56:12	89738/89738	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20May%202020%2002:56:12%20GMT	https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170&act=dispMemberSignUpForm	C:/My%20Web%20Sites/roshop/www.bareungak.com/index0945.html	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=4170)
11:56:13	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4ddb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325)
11:56:13	0/-1	---M--	301	error ('')			https://www.bareungak.com/index.php?mid=home	C:/My%20Web%20Sites/roshop/www.bareungak.com/index.4deb163.delayed	(from https://www.bareungak.com/index.php?mid=community_fivem_tipboard&sort_index=comment_count&order_type=desc&document_srl=7325)
